Type,Tax Category,Tax Sub Category,Tax Particular,Major Head,Actual 2018-2019,Budget 2019-2020,Revised 2019-2020,Budget 2020-2021
Tax Revenue,Taxes of Union Territories,,Stamps and Registration,710,218.93,305.72,290.72,315.67
Tax Revenue,Taxes of Union Territories,,State Excise Duties,710,1077.21,1523,1341.5,1420.03
Tax Revenue,Taxes of Union Territories,,Sales Tax,710,1080.3,1898,1513.5,1589.95
Tax Revenue,Taxes of Union Territories,,Taxes on Vehicles,710,218.9,333,323.52,327.27
Tax Revenue,Taxes of Union Territories,,Taxes on goods and passengers,710,13.51,17,18.89,21.25
Tax Revenue,Taxes of Union Territories,,Taxes and Duties on Electricity,710,31.09,50,50,55
Tax Revenue,Taxes of Union Territories,,Other Taxes and Duties,710,164.4,...,599.31,727.62
Tax Revenue,Taxes of Union Territories,,Union Territories Goods and Services Tax (UTGST),7,2778.2,2768,2704,3000
Less,Less-NCCD transferred to the National Disaster Response Fund,,NCCD (Customs),37,-2.36,-545,-890,-930
Less,Less-NCCD transferred to the National Disaster Response Fund,,NCCD (Union Excise),38,-1797.8,-1935,-1900,-2000
Less,Less-States' Share,,Less-States' Share,710,-761454.15,-809133.02,-714889.49,-784180.87
Less,Less-States' share adjustment as per Actual,,Less-States' share adjustment as per Actual,710,...,...,58843.42,...
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
